ticker,created,id,sent_score,sentiment
AMD,Thu Mar 31 18:24:28 +0000 2022,1.51E+18,0,neutral
AMD,Thu Mar 31 18:12:21 +0000 2022,1.51E+18,0.275,positive
AMD,Thu Mar 31 18:02:54 +0000 2022,1.51E+18,0,neutral
AMD,Thu Mar 31 17:52:42 +0000 2022,1.51E+18,0.5,positive
AEE,Thu Mar 31 18:10:45 +0000 2022,1.51E+18,0,neutral
AAL,Thu Mar 31 23:37:04 +0000 2022,1.51E+18,0,neutral
AAL,Thu Mar 31 19:23:21 +0000 2022,1.51E+18,0.275,positive
AAL,Thu Mar 31 17:16:16 +0000 2022,1.51E+18,0,neutral
AAL,Thu Mar 31 17:16:16 +0000 2022,1.51E+18,0,neutral
AAL,Thu Mar 31 17:16:16 +0000 2022,1.51E+18,0,neutral
AAL,Thu Mar 31 17:16:16 +0000 2022,1.51E+18,0,neutral
AAL,Thu Mar 31 17:16:16 +0000 2022,1.51E+18,0,neutral
AAL,Wed Mar 30 23:06:06 +0000 2022,1.51E+18,0,neutral
AAL,Wed Mar 30 16:49:00 +0000 2022,1.51E+18,0.275,positive
AAL,Wed Mar 30 16:43:43 +0000 2022,1.51E+18,0,neutral
AEP,Wed Mar 30 15:54:04 +0000 2022,1.51E+18,0,neutral
AEP,Wed Mar 30 15:25:42 +0000 2022,1.51E+18,0,neutral
AEP,Wed Mar 30 03:23:01 +0000 2022,1.51E+18,0,neutral
AXP,Thu Mar 31 22:30:02 +0000 2022,1.51E+18,0.275,positive
AXP,Thu Mar 31 19:57:06 +0000 2022,1.51E+18,1,positive
AXP,Thu Mar 31 17:16:16 +0000 2022,1.51E+18,0,neutral
AXP,Thu Mar 31 17:16:16 +0000 2022,1.51E+18,0,neutral
AXP,Thu Mar 31 17:16:16 +0000 2022,1.51E+18,0,neutral
AXP,Thu Mar 31 17:16:16 +0000 2022,1.51E+18,0,neutral
AXP,Thu Mar 31 16:26:09 +0000 2022,1.51E+18,0,neutral
AXP,Thu Mar 31 16:08:39 +0000 2022,1.51E+18,0.275,positive
AXP,Wed Mar 30 17:24:08 +0000 2022,1.51E+18,1,positive
AXP,Wed Mar 30 16:07:57 +0000 2022,1.51E+18,0,neutral
AMT,Thu Mar 31 22:47:00 +0000 2022,1.51E+18,0.106666667,positive
AMT,Thu Mar 31 19:48:08 +0000 2022,1.51E+18,1,positive
AMT,Thu Mar 31 14:30:30 +0000 2022,1.51E+18,1,positive
AWK,Thu Mar 31 15:35:41 +0000 2022,1.51E+18,0.045454545,positive
AWK,Thu Mar 31 14:27:53 +0000 2022,1.51E+18,0.106666667,positive
AWK,Wed Mar 30 22:30:02 +0000 2022,1.51E+18,0.275,positive
AMP,Thu Mar 31 16:00:12 +0000 2022,1.51E+18,-0.075,negative
AMP,Thu Mar 31 00:04:26 +0000 2022,1.51E+18,0,neutral
AMP,Wed Mar 30 16:34:27 +0000 2022,1.51E+18,0,neutral
AMP,Wed Mar 30 15:05:57 +0000 2022,1.51E+18,0,neutral
ABC,Thu Mar 31 19:37:22 +0000 2022,1.51E+18,0,neutral
AMGN,Thu Mar 31 17:16:16 +0000 2022,1.51E+18,0,neutral
AMGN,Thu Mar 31 16:51:33 +0000 2022,1.51E+18,0.275,positive
AMGN,Thu Mar 31 14:27:06 +0000 2022,1.51E+18,1,positive
AMGN,Wed Mar 30 17:12:08 +0000 2022,1.51E+18,1,positive
APH,Thu Mar 31 10:00:26 +0000 2022,1.51E+18,-0.140740741,negative
ADI,Wed Mar 30 22:06:17 +0000 2022,1.51E+18,0,neutral
ANTM,Wed Mar 30 12:30:00 +0000 2022,1.51E+18,0.175324675,positive
AON,Wed Mar 30 12:30:00 +0000 2022,1.51E+18,0.175324675,positive
APA,Thu Mar 31 21:41:59 +0000 2022,1.51E+18,0,neutral
APA,Thu Mar 31 17:16:16 +0000 2022,1.51E+18,0,neutral
APA,Thu Mar 31 15:48:50 +0000 2022,1.51E+18,0,neutral
APA,Wed Mar 30 14:25:18 +0000 2022,1.51E+18,0,neutral
APA,Wed Mar 30 13:55:30 +0000 2022,1.51E+18,0.275,positive
APA,Wed Mar 30 13:54:30 +0000 2022,1.51E+18,0.275,positive
APA,Wed Mar 30 13:53:04 +0000 2022,1.51E+18,0.275,positive
AAPL,Thu Mar 31 19:27:06 +0000 2022,1.51E+18,1,positive
AAPL,Thu Mar 31 19:06:47 +0000 2022,1.51E+18,0.275,positive
AAPL,Thu Mar 31 18:51:44 +0000 2022,1.51E+18,-0.275,negative
AAPL,Thu Mar 31 18:24:28 +0000 2022,1.51E+18,0,neutral
AAPL,Thu Mar 31 18:13:43 +0000 2022,1.51E+18,0.275,positive
AAPL,Thu Mar 31 18:13:16 +0000 2022,1.51E+18,0,neutral
AAPL,Thu Mar 31 18:00:08 +0000 2022,1.51E+18,0.275,positive
AAPL,Thu Mar 31 17:16:16 +0000 2022,1.51E+18,0,neutral
AAPL,Thu Mar 31 17:16:16 +0000 2022,1.51E+18,0,neutral
AAPL,Thu Mar 31 17:16:16 +0000 2022,1.51E+18,0,neutral
AMAT,Thu Mar 31 14:06:18 +0000 2022,1.51E+18,0,neutral
AMAT,Thu Mar 31 00:25:13 +0000 2022,1.51E+18,0.1,positive
APTV,Thu Mar 31 20:02:38 +0000 2022,1.51E+18,0,neutral
APTV,Wed Mar 30 22:30:02 +0000 2022,1.51E+18,0.275,positive
ANET,Thu Mar 31 02:15:34 +0000 2022,1.51E+18,0,neutral
AIZ,Thu Mar 31 18:10:45 +0000 2022,1.51E+18,0,neutral
AIZ,Wed Mar 30 03:22:51 +0000 2022,1.51E+18,0.032467532,positive
AIZ,Wed Mar 30 03:06:05 +0000 2022,1.51E+18,0.136363636,positive
T,Thu Mar 31 23:54:07 +0000 2022,1.51E+18,1,positive
T,Thu Mar 31 19:51:03 +0000 2022,1.51E+18,0.275,positive
T,Thu Mar 31 18:36:09 +0000 2022,1.51E+18,1,positive
T,Thu Mar 31 17:16:16 +0000 2022,1.51E+18,0,neutral
T,Thu Mar 31 17:16:16 +0000 2022,1.51E+18,0,neutral
T,Thu Mar 31 17:16:16 +0000 2022,1.51E+18,0,neutral
T,Thu Mar 31 17:16:16 +0000 2022,1.51E+18,0,neutral
T,Thu Mar 31 17:16:16 +0000 2022,1.51E+18,0,neutral
T,Thu Mar 31 17:16:16 +0000 2022,1.51E+18,0,neutral
T,Thu Mar 31 16:45:50 +0000 2022,1.51E+18,0.106666667,positive
ADSK,Thu Mar 31 15:17:58 +0000 2022,1.51E+18,0.16,positive
ADSK,Thu Mar 31 08:00:16 +0000 2022,1.51E+18,-0.140740741,negative
ADSK,Wed Mar 30 17:45:30 +0000 2022,1.51E+18,0.275,positive
ADSK,Wed Mar 30 17:44:39 +0000 2022,1.51E+18,0,neutral
ADSK,Wed Mar 30 17:44:39 +0000 2022,1.51E+18,0,neutral
ADSK,Wed Mar 30 00:31:29 +0000 2022,1.51E+18,0,neutral
AZO,Thu Mar 31 14:14:00 +0000 2022,1.51E+18,-0.3,negative
