O,Thu Mar 31 20:27:00 +0000 2022,1509628348531720202,Realty Income Corporation current quarter revenue growth YoY of 63 00  ranked 742 out of 5722 companies in our database      https   t co e5GlDDjC8K  O
REG,Thu Mar 31 22:14:33 +0000 2022,1509655414161305621,   REG price target update    Target Lowered by Deutsche Bank Aktiengesellschaft From  92 00 to  83 00  Day quote change   58 76   1 45   Target upside  41 25   Published  March 31  2022 https   t co RJsd063rBB
REGN,Thu Mar 31 20:10:18 +0000 2022,1509624147147517952, REGN   SEC Form 4  Brown Michael S exercised 1 930 shares at a strike of  374 12 and sold  1 349 070 worth of shares  1 930 units at  699 00  as part of a pre agreed trading plan  https   t co D2EosknQkz  45 seconds delayed 
REGN,Wed Mar 30 12:30:00 +0000 2022,1509145920486608898,New Large Cap 52  Week Highs for Mar 29  2022    UNP  276 82  AZN  66 60  ANTM  492 22  CB  218 99  DUK  110 99  CP  83 26  SO  72 07  REGN  699 00  AON  329 46  D  84 90  Research on https   t co jdIQT7KKID
RF,Thu Mar 31 13:05:29 +0000 2022,1509517238000394247, RF  15s  delayed   Issued Press Release on March 31  09 00 00  Regions Bank Wins Gallup Exceptional Workplace Award https   t co hzW8Lpb6SE
RSG,Thu Mar 31 22:30:02 +0000 2022,1509659310044987398,Nice print for  RSG Size  369276 Price  132 5 Amount   48 929 070 00 Time  1830 See more  https   t co UPDXcypLMn Join https   t co JWvlYbdLod to get REAL TIME prints  Runners    https   t co VC1LdPHaJR Losers    https   t co 9MWV4THfhQ Gappers    https   t co bHQKF1W40n
RSG,Thu Mar 31 13:39:27 +0000 2022,1509525786751086596, RSG Max Pain is 130 00 for maturity 04 14 2022   maxpain  options https   t co IMPEuZ8z77 https   t co gIJIJIXfak
RSG,Wed Mar 30 19:02:33 +0000 2022,1509244708148682756, RSG Max Pain is 125 00 for maturity 04 14 2022   maxpain  options https   t co IMPEuZ8z77 https   t co bCjmK6jEXn
RHI,Thu Mar 31 18:55:59 +0000 2022,1509605445186560003, RHI  15s  delayed   Issued Press Release on March 31  14 47 00  Protiviti Launches 2022  Birdies for Meals  Campaign with Professional Golfers Matt Fitzpatrick and Jennifer Kupcho to Fight Hunger https   t co iIasb0cZ5Y
ROK,Thu Mar 31 10:09:57 +0000 2022,1509473060969193472, ROK Max Pain 270 00  Maturity 04 14 2022   maxpain  options https   t co ODde483k6X https   t co akNhAvulXC
ROK,Wed Mar 30 16:27:58 +0000 2022,1509205805802917894, ROK high OI range is 230 00 to 360 00 for option expiration 04 14 2022 PutCallRatio 0 43  maxpain  options https   t co ODde483k6X https   t co zYwh9HJoyg
RCL,Thu Mar 31 17:16:16 +0000 2022,1509580347704369196, RCL Strike  90 00 Expiration  2022 06 17 Call  RCL220617C90 Price  4 30 Size  4500 Time  2022 03 31 10 22 38AM Premium   1 935 000 00
RCL,Thu Mar 31 17:16:16 +0000 2022,1509580347544985609, RCL Strike  82 00 Expiration  2022 04 01 Call  RCL220401C82 Price  2 45 Size  1275 Time  2022 03 31 10 54 11AM Premium   312 375 00
RCL,Thu Mar 31 15:45:09 +0000 2022,1509557417348112388, RCL  90 00 May 20 2022 CALL     Underlying   84 01   Difference  6 66  Daily   Volume   875 805 Volume  2 634 OI  553 IV  44 94  Bid Ask   3 25  3 40
RCL,Wed Mar 30 20:21:15 +0000 2022,1509264513454931969, RCL Rising Price and Volume Daily appearances since 2010  163 Close 5 days later    Avg  0 06 SD  3 36 Worst   16 64 Best  7 98  10 days later  Avg   0 05 SD  5 17 Worst   40 23 Best  10 71  30 days later  Avg  0 51 SD  10 46 Worst   76 62 Best  22 00
RCL,Wed Mar 30 09:59:08 +0000 2022,1509107953042964484, RCL gap at around  93 00 on the Daily Chart  I zoomed in to show its there  Its a small thin gap but it s there  https   t co aiqcjy4XaA
SPGI,Thu Mar 31 17:59:36 +0000 2022,1509591255478636562, SPGI  15s  delayed   Issued Press Release on March 31  13 55 00  No Cause For Complacency As The Russia Ukraine Conflict Modestly Dents Global Economic Growth  Report Says https   t co gWOea8usqM
